element_id,element_uid,level,name,grounding_kind,grounding_ref,adr,symbol,source_locator
p_architect,e_92f982741847,person,Solutions Architect,satisfies,REQ-005,,,
p_peers,e_c6483d7e029f,person,Peer reviewers,satisfies,REQ-004,,,
s_sources,e_8be55040f612,system,Stakeholder sources,satisfies,REQ-001,,,
s_sources,e_8be55040f612,system,Stakeholder sources,satisfies,REQ-003,,,
s_core,e_303d87fa6960,system,archtrace,satisfies,REQ-005,,,
c_intake,e_efa11844966b,container,Evidence manifest,derived,c_extract,ADR-003,,
c_extract,e_4f50f13910a8,container,Extraction agent,satisfies,REQ-006,,,
c_extract,e_4f50f13910a8,container,Extraction agent,satisfies,REQ-002,,,
c_gate,e_50d82960b70e,container,Deterministic gate,satisfies,REQ-007,,,
c_gate,e_50d82960b70e,container,Deterministic gate,satisfies,REQ-010,,,
c_render,e_269a91930ad2,container,Renderer,satisfies,REQ-008,,,
c_release,e_ab1651180292,container,Release + verify,derived,c_gate,ADR-002,,
c_promote,e_c5d7eba4bf60,container,Promote gate,derived,c_extract,ADR-001,,
c_trust,e_46281a83da1e,container,Trust boundary,derived,c_extract,ADR-004,,
s_external,e_4acd2e833971,system,Jira / Lucid / SharePoint,satisfies,REQ-009,,,
